"norm_tgf_control_1"	"norm_tgf_control_2"	"norm_tgf_control_3"	"norm_tgf_control_4"	"tgf_control_median averaged"	"norm_tgf_6h_1"	"norm_tgf_6h_2"	"norm_tgf_6h_3"	"norm_tgf_6h_4"	"tgf_6h_median averaged"	"norm_tgf_12h_1"	"norm_tgf_12h_2"	"norm_tgf_12h_3"	"norm_tgf_12h_4"	"tgf_12h_median averaged"	"norm_tgf_24h_1"	"norm_tgf_24h_2"	"norm_tgf_24h_3"	"norm_tgf_24h_4"	"tgf_24h_median averaged"	"norm_tgf_36h_1"	"norm_tgf_36h_2"	"norm_tgf_36h_3"	"norm_tgf_36h_4"	"tgf_36h_median averaged"	"norm_tgf_48h_1"	"norm_tgf_48h_2"	"norm_tgf_48h_3"	"norm_tgf_48h_4"	"tgf_48h_median averaged"	"ANOVA Significant"	"  -Log 10 ANOVA p value"	"PEP"	"Intensity"	"Peptides"	"Unique peptides"	"Protein IDs"	"Majority protein IDs"	"Protein names"	"Gene names"
-0.37	0.37	-0.15	0.15	0.00	-0.01	-0.03	-0.13	0.01	-0.02	-0.58	-0.19	-0.09	-0.60	-0.38	0.25	0.44	0.43	0.51	0.44	-0.91	-0.44	-0.20	0.02	-0.32	-0.26	0.11	-0.05	-0.18	-0.11	"+"	2.43	0	28431000000	43	43	"Q12797;F5H667;F8W7A9;E5RHK2;Q8TB28;Q12797-2;E5RG56;E5RHJ2;Q6NXR7;E5RG29;B4DIC9;B7ZM95;Q9H291;E5RJL3;G3XAN5;Q12797-4;Q12797-3"	"Q12797;F5H667"	"Aspartyl/asparaginyl beta-hydroxylase"	"ASPH"
-0.34	0.34	0.00	0.00	0.00	-0.07	-0.04	-0.17	-0.03	-0.05	0.09	-0.02	0.36	0.19	0.14	-0.24	-0.13	0.01	0.11	-0.06	-0.33	0.04	0.10	-0.41	-0.14	-0.19	0.23	-0.16	0.18	0.01		0.38	0	58128000000	21	18	"Q12792;Q12792-4;Q12792-3;F8VS81;F8VRG3;F8W1Q9"	"Q12792;Q12792-4;Q12792-3;F8VS81"	"Twinfilin-1"	"TWF1"
-1.44	1.44	0.01	-0.01	0.00	-0.05	-0.33	0.14	-0.18	-0.11	-0.19	-0.05	0.18	0.44	0.06	-0.10	-0.47	-0.34	-0.32	-0.33	-0.11	0.03	-0.20	-0.21	-0.15	-0.42	0.49	"NaN"	1.23	0.49		0.16	1.14E-210	8922800000	39	39	"Q12789-3;Q12789;H7BYG6;H3BU37;H3BU55;H3BRD0"	"Q12789-3;Q12789;H7BYG6"	"General transcription factor 3C polypeptide 1"	"GTF3C1"
-1.23	1.23	-0.24	0.24	0.00	-0.30	0.37	0.12	-0.44	-0.09	-0.15	-0.37	-0.28	-0.32	-0.30	-0.66	-0.95	-0.05	0.41	-0.36	-1.41	-0.45	-1.01	-0.42	-0.73	"NaN"	-0.21	"NaN"	0.33	0.06		0.40	3.14E-115	8119100000	21	21	"Q12788;H3BN88;H3BTN4"	"Q12788"	"Transducin beta-like protein 3"	"TBL3"
0.06	-0.06	-0.29	0.29	0.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	0.36	-0.64	-1.19	-0.89	-0.77		0.82	3.54E-12	582350000	3	3	"Q12778;A8MYZ6;A6NCE0;P98177-2;P98177"	"Q12778;A8MYZ6;A6NCE0"	"Forkhead box protein O1;Forkhead box protein O6"	"FOXO1;FOXO6"
0.20	-0.20	-0.02	0.02	0.00	0.61	0.60	-0.84	-0.15	0.23	0.23	0.02	0.88	0.33	0.28	0.71	0.38	0.72	0.39	0.55	0.48	-0.94	0.20	0.43	0.32	0.61	0.19	0.43	1.06	0.52		0.53	7.87E-194	10685000000	18	9	"Q12774;H0Y895;C9J591"	"Q12774"	"Rho guanine nucleotide exchange factor 5"	"ARHGEF5"
-0.63	0.63	0.18	-0.18	0.00	0.11	0.67	0.38	0.11	0.25	-0.41	-0.07	-0.43	-0.56	-0.42	-1.16	-0.60	-0.67	0.00	-0.63	"NaN"	0.24	-0.05	-0.58	-0.05	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"		1.29	2.14E-45	2893500000	9	8	"Q12769;G3V198;E9PR16;C9J0U6;Q12769-3;E9PSI3"	"Q12769;G3V198;E9PR16"	"Nuclear pore complex protein Nup160"	"NUP160"
0.08	-0.08	-0.14	0.14	0.00	-0.62	-0.19	-0.37	0.53	-0.28	-0.36	0.24	-0.50	0.03	-0.17	-0.52	0.28	-0.68	-0.31	-0.41	0.05	"NaN"	1.14	0.63	0.63	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"		1.07	1.03E-53	2419800000	15	15	"Q12768;E7EQI7;H0YAY2;E5RFU6"	"Q12768;E7EQI7"	"WASH complex subunit strumpellin"	"KIAA0196"
-0.01	0.01	0.03	-0.03	0.00	0.22	-0.36	0.10	-0.07	0.02	-0.01	0.06	0.13	-0.31	0.03	0.60	0.47	0.58	0.41	0.52	0.55	0.84	0.47	0.68	0.62	0.49	1.02	0.42	0.95	0.72	"+"	4.78	2.94E-130	46256000000	17	17	"Q12765;C9JPG0;B4DIP5;B4DH22;C9K052;B8ZZP4;C9J7U9"	"Q12765;C9JPG0;B4DIP5;B4DH22"	"Secernin-1"	"SCRN1"
-0.03	0.03	0.10	-0.10	0.00	0.08	0.12	-0.20	0.29	0.10	-0.27	-0.19	-0.03	-0.01	-0.11	-0.75	-0.57	-1.05	-0.58	-0.66	-0.54	0.14	0.01	-0.30	-0.14	-1.78	0.40	0.64	1.03	0.52		0.48	4.06E-257	38460000000	22	22	"Q10713;B4DKL3;Q5SXN0;Q5SXN9"	"Q10713;B4DKL3"	"Mitochondrial-processing peptidase subunit alpha"	"PMPCA"
0.41	-0.41	0.00	0.00	0.00	-0.26	"NaN"	-0.22	-0.47	-0.26	"NaN"	"NaN"	"NaN"	0.32	0.32	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	-0.02	-0.29	-0.16		0.45	4.49E-17	580460000	4	4	"Q10587;Q10587-2"	"Q10587"	"Thyrotroph embryonic factor"	"TEF"
0.07	-0.07	-0.20	0.20	0.00	-0.03	-0.47	-0.19	0.31	-0.11	0.39	-0.29	0.06	-0.29	-0.11	0.27	-0.32	-0.39	-0.29	-0.30	0.42	-0.28	0.19	-0.14	0.03	1.18	1.72	-0.31	"NaN"	1.18		1.01	9.23E-231	10676000000	21	21	"Q10570;E9PIM1"	"Q10570"	"Cleavage and polyadenylation specificity factor subunit 1"	"CPSF1"
-0.19	0.19	0.20	-0.20	0.00	-0.56	-0.01	-0.26	0.46	-0.14	-0.13	-0.25	-0.07	0.24	-0.10	-0.45	-0.24	-0.29	-0.19	-0.27	0.11	0.08	-0.14	-0.41	-0.03	-0.45	-0.06	0.00	0.19	-0.03		0.14	7.70E-280	30902000000	41	20	"Q10567-3;Q10567-2;Q10567;F8WDL0;C9J1E7"	"Q10567-3;Q10567-2;Q10567;F8WDL0;C9J1E7"	"AP-1 complex subunit beta-1"	"AP1B1"
-0.61	0.61	0.89	-0.89	0.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	0.92	0.06	"NaN"	0.49	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"		0.28	6.50E-09	933280000	4	4	"Q10469;B4DDK9"	"Q10469;B4DDK9"	"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"	"MGAT2"
0.27	-0.27	0.55	-0.55	0.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	-0.62	"NaN"	"NaN"	-0.62		0.00	1.29E-13	138360000	5	5	"Q0ZGT2-4;Q0ZGT2-3;Q0ZGT2;H7BXY5;Q0ZGT2-2;E7ETM8;E7EUA0;E7EQF0"	"Q0ZGT2-4;Q0ZGT2-3;Q0ZGT2;H7BXY5;Q0ZGT2-2;E7ETM8;E7EUA0"	"Nexilin"	"NEXN"
-0.05	0.05	-0.01	0.01	0.00	"NaN"	0.56	"NaN"	"NaN"	0.56	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	0.77	0.77	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	2.52	2.52		0.00	8.07E-82	3082900000	4	4	"Q0VGL1;C9JXA7"	"Q0VGL1;C9JXA7"	"UPF0539 protein C7orf59"	"C7orf59"
-0.02	0.02	0.19	-0.19	0.00	0.38	0.00	0.36	-0.13	0.18	-0.09	-0.40	0.70	-0.31	-0.20	-0.47	-0.64	-0.21	-0.63	-0.55	0.15	0.60	0.05	-0.58	0.10	"NaN"	1.09	-1.75	-0.32	-0.32		0.19	0	10823000000	24	24	"Q0VDF9;H7C2A1;B0YIZ1"	"Q0VDF9"	"Heat shock 70 kDa protein 14"	"HSPA14"
0.00	0.00	-0.01	0.01	0.00	0.12	-0.04	-0.05	-0.01	-0.02	0.17	0.20	0.04	0.29	0.19	0.15	0.19	0.19	0.25	0.19	-0.37	-0.22	-0.13	0.08	-0.17	-0.26	-0.41	-0.14	-0.48	-0.34	"+"	4.59	0	11800000000000	771	643	"Q09666;E9PLK4;E9PKR9;E9PJZ0;E9PJC6;E9PLZ1;E9PQE3"	"Q09666"	"Neuroblast differentiation-associated protein AHNAK"	"AHNAK"
0.10	-0.10	-0.14	0.14	0.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	1.81	"NaN"	"NaN"	"NaN"	1.81	1.00	"NaN"	"NaN"	"NaN"	1.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	-0.48	-1.15	-0.90	-1.02	-0.96	"+"	2.84	9.72E-112	2949300000	28	17	"Q09472"	"Q09472"	"Histone acetyltransferase p300"	"EP300"
-0.50	0.50	0.02	-0.02	0.00	0.08	-0.07	0.13	-0.02	0.03	-0.39	-0.27	0.10	0.63	-0.08	-0.81	-0.97	-1.13	-1.35	-1.05	-0.75	-0.65	-1.10	-0.47	-0.70	0.44	0.12	-0.93	-0.08	0.02	"+"	2.83	2.82E-266	22158000000	18	18	"Q09161;F2Z2T1"	"Q09161"	"Nuclear cap-binding protein subunit 1"	"NCBP1"
-0.04	0.04	0.01	-0.01	0.00	-0.09	-0.30	-0.34	0.03	-0.20	-0.57	-0.58	-0.15	0.10	-0.36	-0.22	-0.69	-0.95	-0.53	-0.61	-0.14	0.06	0.12	-0.09	-0.01	-0.23	0.07	-0.30	-0.04	-0.14	"+"	2.03	6.57E-207	23790000000	19	1	"Q09028-3;Q09028;Q09028-4;H0YF10;H0YCT5;H0YDK2;E9PNS6;B4DRT0;E9PNS2;E9PIC4;H0YEU5;C9JAJ9;C9J959"	"Q09028-3;Q09028;Q09028-4"	"Histone-binding protein RBBP4"	"RBBP4"
0.01	-0.01	0.20	-0.20	0.00	-0.10	-0.10	0.10	0.14	0.00	-0.07	-0.04	-0.30	-0.14	-0.11	-0.69	-0.68	-0.58	-0.49	-0.63	-0.03	-0.03	-0.17	-0.29	-0.10	-0.65	-0.50	-0.32	0.24	-0.41	"+"	2.59	0	75420000000	56	56	"Q08J23;Q08J23-2;G3V1R4;D6RAS3"	"Q08J23;Q08J23-2;G3V1R4"	"tRNA (cytosine(34)-C(5))-methyltransferase"	"NSUN2"
-0.66	0.66	-0.42	0.42	0.00	"NaN"	"NaN"	"NaN"	-2.35	-2.35	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"		0.00	1.56E-05	119500000	1	1	"Q08AP5;Q969S8-5;C9J8B8;Q969S8-2;Q969S8-4;Q969S8"	"Q08AP5;Q969S8-5;C9J8B8;Q969S8-2;Q969S8-4;Q969S8"	"Histone deacetylase 10"	"HDAC10"
-0.13	0.13	0.02	-0.02	0.00	0.66	0.19	0.58	"NaN"	0.58	1.58	"NaN"	-0.03	0.51	0.51	-0.60	"NaN"	0.37	-0.31	-0.31	0.00	"NaN"	0.22	-0.36	0.00	0.88	"NaN"	-0.45	0.06	0.06		0.56	3.09E-84	5470100000	12	8	"Q08AM6;H3BUU8;H3BN23;H3BQD9"	"Q08AM6"	"Protein VAC14 homolog"	"VAC14"
-0.21	0.21	-0.07	0.07	0.00	-0.37	-0.23	0.41	-0.12	-0.17	-0.49	-0.05	0.04	-0.36	-0.20	-0.30	-0.53	-1.15	-1.84	-0.84	"NaN"	-0.91	"NaN"	-1.88	-1.39	"NaN"	-2.14	-0.17	-1.42	-1.42		1.79	1.74E-129	6507700000	8	8	"Q08AG7"	"Q08AG7"	"Mitotic-spindle organizing protein 1"	"MZT1"
0.30	-0.30	0.03	-0.03	0.00	0.32	0.37	-0.46	-0.39	-0.04	-0.43	-0.47	0.65	0.85	0.11	-0.74	-0.75	-0.72	-0.21	-0.73	-0.16	-0.13	-0.31	-0.27	-0.21	-1.19	-0.12	-0.21	-0.04	-0.16		0.71	8.49E-282	36092000000	37	34	"Q08AF3;B4E128;Q08AF3-2;F5H6G3;Q6IEE8-2;Q6IEE8"	"Q08AF3;B4E128;Q08AF3-2"	"Schlafen family member 5"	"SLFN5"
0.22	-0.22	-0.08	0.08	0.00	-0.38	-0.49	-0.20	0.08	-0.29	0.30	0.32	0.64	0.44	0.38	-0.11	0.01	0.03	0.21	0.02	0.91	0.97	0.37	0.21	0.64	0.07	0.09	0.41	-0.80	0.08	"+"	2.13	4.47E-212	20499000000	41	38	"Q08AD1-3;Q08AD1;Q08AD1-2;H0YE13;H0Y4Z1;REV__E7ESB4;REV__F8WA94;REV__E9PHH8;REV__Q9Y6X2"	"Q08AD1-3;Q08AD1;Q08AD1-2"	"Calmodulin-regulated spectrin-associated protein 2"	"CAMSAP2"
-0.02	0.02	0.08	-0.08	0.00	0.20	0.24	0.18	0.13	0.19	-0.24	-0.03	-0.36	-0.20	-0.22	-0.83	-0.53	-0.23	-0.12	-0.38	-0.61	-0.10	-0.45	-0.66	-0.53	-0.68	-0.93	-0.49	-0.77	-0.72	"+"	4.36	0	130000000000	41	41	"Q08945;E9PPZ7;E9PMD4"	"Q08945"	"FACT complex subunit SSRP1"	"SSRP1"
0.11	-0.11	-0.10	0.10	0.00	-0.04	0.38	-0.03	0.09	0.03	0.00	-0.06	-0.16	0.25	-0.03	-0.70	-0.16	-0.54	-0.37	-0.46	-0.10	-0.15	-0.15	-0.40	-0.15	-0.52	-0.75	0.31	-0.80	-0.63		1.52	0	43216000000	38	36	"Q08752;H0Y8J0"	"Q08752"	"Peptidyl-prolyl cis-trans isomerase D"	"PPID"
-0.46	0.46	-0.09	0.09	0.00	0.31	0.24	-0.17	0.45	0.28	"NaN"	-0.47	0.40	0.40	0.40	"NaN"	1.88	-1.67	-1.03	-1.03	-0.82	-0.80	0.05	0.45	-0.37	1.57	2.10	0.47	0.44	1.02		0.60	3.47E-27	14604000000	6	6	"Q08722-2;Q08722-3;Q08722-4;Q08722"	"Q08722-2;Q08722-3;Q08722-4;Q08722"	"Leukocyte surface antigen CD47"	"CD47"
-1.20	1.20	-0.06	0.06	0.00	-0.14	-0.03	0.66	-0.08	-0.06	-0.14	0.06	"NaN"	"NaN"	-0.04	"NaN"	1.34	-1.83	-2.02	-1.83	0.38	1.47	0.18	0.07	0.28	"NaN"	3.64	-1.32	-0.51	-0.51		0.09	1.77E-44	3896900000	4	4	"Q08623;F5H6B0;E9PAV8;Q08623-2;E7EVH9;Q08623-3"	"Q08623;F5H6B0;E9PAV8;Q08623-2;E7EVH9;Q08623-3"	"Pseudouridine-5-monophosphatase"	"HDHD1"
0.87	-0.87	-1.25	1.25	0.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"		0.00	6.87E-31	190260000	8	5	"Q08554-2;Q08554"	"Q08554-2;Q08554"	"Desmocollin-1"	"DSC1"
0.17	-0.17	0.02	-0.02	0.00	-0.02	0.25	0.11	0.29	0.18	-0.31	-0.12	-0.20	-0.18	-0.19	-0.77	-0.79	-0.93	-0.17	-0.78	-0.76	-0.57	-0.98	-1.26	-0.87	-0.75	-0.69	-0.57	-0.44	-0.63	"+"	5.31	0	25546000000	16	16	"Q08380;B4DVE1;B4DI70"	"Q08380;B4DVE1;B4DI70"	"Galectin-3-binding protein"	"LGALS3BP"
0.07	-0.07	0.13	-0.13	0.00	0.19	0.14	0.14	0.06	0.14	0.16	0.21	0.17	0.10	0.16	0.60	0.55	0.49	0.39	0.52	0.12	0.65	0.84	0.51	0.58	0.30	0.24	0.66	0.22	0.27	"+"	3.05	0	72638000000	59	33	"Q08379;Q08379-2;A8MZ06;Q9H5Y0-2;Q9H5Y0;Q8NCE8;REV__Q5SY18;REV__F5H2R6;REV__O94827-4;REV__O94827-5;REV__O94827-3;REV__O94827;REV__F5GZ21;REV__O94827-2;REV__F5H1I0"	"Q08379;Q08379-2"	"Golgin subfamily A member 2"	"GOLGA2"
0.12	-0.12	-0.02	0.02	0.00	0.29	0.18	0.04	-0.06	0.11	-0.28	-0.17	0.09	0.08	-0.04	0.32	0.35	0.35	0.20	0.33	0.38	0.03	0.28	0.08	0.18	-0.08	0.36	0.28	0.32	0.30		1.60	0	59855000000	76	76	"Q08378;Q08378-2;Q08378-4"	"Q08378;Q08378-2;Q08378-4"	"Golgin subfamily A member 3"	"GOLGA3"
-0.16	0.16	0.04	-0.04	0.00	0.26	0.23	-0.11	0.04	0.13	0.16	-0.11	-0.32	-0.54	-0.22	0.67	0.16	1.37	0.97	0.82	0.84	0.64	1.16	1.20	1.00	0.21	0.73	0.61	0.45	0.53	"+"	3.97	4.36E-142	7312400000	13	13	"Q08357"	"Q08357"	"Sodium-dependent phosphate transporter 2"	"SLC20A2"
-0.07	0.07	0.25	-0.25	0.00	0.00	-0.10	-0.91	-0.02	-0.06	-0.13	0.58	0.37	0.30	0.34	-0.47	-0.22	-0.77	-0.59	-0.53	0.52	0.81	-0.09	-1.17	0.21	-0.08	-0.45	-0.24	-0.47	-0.35		0.70	3.50E-80	8491600000	21	21	"Q08345;Q08345-5;Q08345-2;Q08345-6;H0Y9F4;Q6ZNR9;F8VYL2;H0Y4U0;A2ABM8;E7ETX3;E7EUD5;E7EVW6;E7ERN0;A2ABK9;E7ESR9;A2ABL0;E7ERI6;E7ETI3;A2ABL1;E7EPN2;H0YAH6;E7EUP7;A2ABL2;Q08345-4;B8JJ50;B7Z3A2;E7EQ30;E7EPH4;E7EVT1;E7ES06;H0Y717;A2ABK8;E7EQ23;E7EX99;E7EXB0;E7ENJ2;E7EN94;D6R9C4;D6RB35;D6RB82;D6RBU7;F5H786;Q16832"	"Q08345;Q08345-5;Q08345-2;Q08345-6"	"Epithelial discoidin domain-containing receptor 1"	"DDR1"
-0.07	0.07	0.10	-0.10	0.00	-0.38	-0.45	0.02	-0.40	-0.39	-0.31	0.38	0.14	0.02	0.08	-0.27	-0.22	1.41	0.85	0.32	-0.34	-0.04	-0.30	-0.04	-0.17	-0.25	-0.37	0.14	0.30	-0.06		0.70	4.68E-188	34129000000	15	15	"Q08257;A6NP24;A6NN60;C9JH92;Q08257-2"	"Q08257;A6NP24;A6NN60;C9JH92"	"Quinone oxidoreductase"	"CRYZ"
-0.29	0.29	-0.03	0.03	0.00	0.01	-0.06	0.05	0.09	0.03	0.01	-0.11	-0.13	-0.17	-0.12	0.17	0.04	0.19	0.15	0.16	-0.43	-0.22	-0.15	-0.37	-0.30	-0.12	-0.03	-0.22	-0.01	-0.08	"+"	2.42	0	207000000000	70	70	"Q08211;F5GXA5;Q08211-2"	"Q08211;F5GXA5"	"ATP-dependent RNA helicase A"	"DHX9"
-0.47	0.47	0.21	-0.21	0.00	0.49	0.26	0.91	0.82	0.65	-0.35	-0.96	0.30	0.00	-0.17	0.32	0.53	0.56	0.06	0.43	-0.25	0.04	1.03	0.52	0.28	-0.51	0.32	0.89	1.47	0.60		0.69	7.57E-90	18094000000	20	14	"Q08209-2;Q08209;Q08209-3;A8W6Z8;A1A441;E7ETC2;F5H0F8;E9PPC8;E9PK68;P48454-2;P48454;B4DRT5;B7Z6P2;Q5F2G0;E9PBI5;H0YC26;E5RJH4;H0YB04;G3V111"	"Q08209-2;Q08209;Q08209-3;A8W6Z8;A1A441;E7ETC2"	"Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform;Serine/threonine-protein phosphatase"	"PPP3CA"
-0.04	0.04	0.22	-0.22	0.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"		0.00	1.02E-06	9589600	2	2	"Q08188;E7ERY7"	"Q08188;E7ERY7"	"Protein-glutamine gamma-glutamyltransferase E;Protein-glutamine gamma-glutamyltransferase E 50 kDa catalytic chain;Protein-glutamine gamma-glutamyltransferase E 27 kDa non-catalytic chain"	"TGM3"
0.12	-0.12	-0.05	0.05	0.00	0.13	0.30	-0.38	0.11	0.12	-0.52	-0.18	-0.39	-0.38	-0.39	-0.11	0.28	-0.09	0.16	0.04	-0.12	0.56	0.26	-0.30	0.07	-0.10	-0.32	-0.14	0.08	-0.12		1.03	0	36485000000	36	4	"Q08174-2;D6RAX3"	"Q08174-2"		
0.39	-0.39	0.09	-0.09	0.00	0.32	-0.09	0.04	0.43	0.18	0.59	0.42	-0.11	0.04	0.23	0.20	0.15	0.47	0.09	0.17	0.42	-0.01	-0.01	-0.45	-0.01	0.13	-0.39	-0.02	-0.38	-0.20		0.49	8.46E-226	214000000000	27	22	"Q08170;E7EMJ8;F6T1J1"	"Q08170;E7EMJ8"	"Serine/arginine-rich splicing factor 4"	"SRSF4"
0.48	-0.48	-0.86	0.86	0.00	0.18	-0.10	0.48	0.81	0.33	0.42	"NaN"	0.12	-0.13	0.12	1.25	"NaN"	1.85	"NaN"	1.55	"NaN"	"NaN"	1.84	1.95	1.90	"NaN"	"NaN"	"NaN"	0.04	0.04	"+"	2.19	1.61E-53	2731500000	5	5	"Q08117;Q08117-2"	"Q08117;Q08117-2"	"Amino-terminal enhancer of split"	"AES"
-0.13	0.13	-0.15	0.15	0.00	-0.29	-0.12	-0.07	-0.01	-0.10	-0.38	-0.57	-0.18	-0.25	-0.32	-0.68	-0.30	-0.03	-0.03	-0.17	0.47	0.45	-0.27	-0.44	0.09	-0.22	0.42	0.10	0.74	0.26		0.95	0	53914000000	27	27	"Q07960;E9PCG8;H0YE29;E9PNR6"	"Q07960;E9PCG8;H0YE29"	"Rho GTPase-activating protein 1"	"ARHGAP1"
0.10	-0.10	-0.05	0.05	0.00	0.16	0.09	-0.14	0.00	0.05	-0.02	-0.03	-0.18	-0.15	-0.09	-0.14	0.14	0.42	0.33	0.23	-0.42	0.16	0.12	0.00	0.06	-0.13	-0.19	-0.32	-0.54	-0.25		1.47	0	373000000000	41	3	"Q07955;Q07955-2"	"Q07955;Q07955-2"	"Serine/arginine-rich splicing factor 1"	"SRSF1"
1.04	-1.04	-0.27	0.27	0.00	2.21	2.24	-1.24	-0.08	1.06	-0.25	-0.58	1.85	0.52	0.14	0.10	0.44	2.04	0.38	0.41	0.10	-0.02	0.50	0.73	0.30	1.28	1.08	1.01	-0.21	1.04		0.07	0	8276400000	44	44	"Q07954;Q86SW0;Q7Z7K9;Q6PJ72;H0YJI8;H0YJ88"	"Q07954"	"Prolow-density lipoprotein receptor-related protein 1;Low-density lipoprotein receptor-related protein 1 85 kDa subunit;Low-density lipoprotein receptor-related protein 1 515 kDa subunit;Low-density lipoprotein receptor-related protein 1 intracellular domain"	"LRP1"
0.10	-0.10	-0.03	0.03	0.00	-0.14	0.03	-0.03	0.09	0.00	0.35	0.22	0.23	0.03	0.23	-0.22	-0.18	-0.16	-0.30	-0.20	-0.38	0.32	0.34	-0.16	0.08	0.25	-1.00	-0.18	0.30	0.04		0.36	0	95012000000	66	6	"Q07866-6;Q07866-4;Q07866-7;G3V5R9;G3V3H3;Q07866-9;Q07866-5;F8VTM4;H0YG16;H0YJK1"	"Q07866-6;Q07866-4;Q07866-7;G3V5R9;G3V3H3;Q07866-9;Q07866-5;F8VTM4"		"KLC1"
-1.49	1.49	1.82	-1.82	0.00	2.26	"NaN"	"NaN"	0.15	1.20	0.38	"NaN"	2.46	"NaN"	1.42	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	-1.01	"NaN"	"NaN"	"NaN"	-1.01	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"		0.22	1.39E-42	4652600000	13	13	"Q07864;F5H1D6;E7ETS8;E7ENR1;F5H7H6;F5H3W5;F5H7E4;B3KS74;F5H5Q5;E9PHF9"	"Q07864;F5H1D6;E7ETS8;E7ENR1;F5H7H6"	"DNA polymerase epsilon catalytic subunit A;DNA polymerase"	"POLE"
0.71	-0.71	0.64	-0.64	0.00	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"	"NaN"	"NaN"	"NaN"	"NaN"	"Nan"		0.00	2.40E-21	2572800000	6	6	"Q07820;Q07820-2;E7ENM2"	"Q07820;Q07820-2;E7ENM2"	"Induced myeloid leukemia cell differentiation protein Mcl-1"	"MCL1"
0.05	-0.05	0.04	-0.04	0.00	0.42	0.28	-0.23	0.28	0.28	0.53	0.38	0.20	-0.22	0.29	-0.16	-0.12	-0.27	-0.58	-0.21	0.18	0.48	0.77	0.34	0.41	0.38	0.28	-0.73	-0.10	0.09		1.29	2.70E-165	41048000000	12	12	"Q07812-5;Q07812-8;Q07812;Q07812-2;Q07812-7;Q07812-4;Q07812-6;Q07812-3"	"Q07812-5;Q07812-8;Q07812;Q07812-2;Q07812-7"	"Apoptosis regulator BAX"	"BAX"
0.16	-0.16	-0.01	0.01	0.00	-0.22	0.05	0.13	0.24	0.09	-0.02	-0.02	-0.05	-0.09	-0.04	-0.31	-0.15	-0.20	-0.42	-0.25	-0.07	-0.08	-0.51	0.13	-0.07	-0.76	-0.80	-0.23	-0.52	-0.64	"+"	2.74	0	364000000000	25	22	"Q07666;Q07666-2;E7ET98;Q07666-3;Q5VWX1;F5H5F6"	"Q07666;Q07666-2;E7ET98;Q07666-3"	"KH domain-containing, RNA-binding, signal transduction-associated protein 1"	"KHDRBS1"
-0.08	0.08	-0.17	0.17	0.00	-0.33	"NaN"	"NaN"	0.12	-0.11	"NaN"	0.16	0.56	0.67	0.56	-0.23	"NaN"	-0.34	-0.22	-0.23	1.75	1.81	1.70	1.68	1.72	1.37	"NaN"	0.80	"NaN"	1.09	"+"	6.86	1.60E-95	4209000000	19	19	"Q07617"	"Q07617"	"Sperm-associated antigen 1"	"SPAG1"
